,county,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15
1,Nairobi,245,249,266,274,289,318,329,346,356,365,369,376,377,387,391,402
2,Mombasa,113,124,129,148,158,169,201,202,205,215,227,237,244,252,264,269
3,Kilifi,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4,Mandera,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14
5,Kiambu,5,5,5,5,5,5,6,6,6,7,7,7,8,8,8,10
6,Kitui,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
7,Kajiado,3,3,3,3,3,3,3,5,5,7,8,17,17,20,24,27
8,Siaya,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9,Nakuru,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
10,Kwale,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
11,Wajir,1,2,2,2,2,7,7,9,9,9,9,11,13,13,13,15
12,Uasin-Gishu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
13,Kakamega,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,Homa_Bay,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
15,Turkana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Marsabit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,West_Pokot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Samburu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Isiolo,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
20,Baringo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Elgeyo_Marakwet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Trans-nzoia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Bungoma,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
24,Garissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Laikipia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Busia,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
27,Meru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Nandi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Vihiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Nyandarua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Tharaka-Nithi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Kericho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kisumu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Nyeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Tana_River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Kirinyaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Embu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Bomet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
39,Nyamira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Narok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Kisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Murang'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Migori,0,0,2,2,2,2,2,3,3,7,7,7,10,10,10,10
44,Machakos,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3
45,Makueni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Lamu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Taita_Taveta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
